freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.369e+02,6.003e+00,7.505e+00,1.504e+02
1.6,9.227e+01,2.209e+01,3.164e+01,1.460e+02
3.1,3.512e+01,2.812e+01,3.575e+01,9.899e+01
4.7,3.418e+02,2.883e+01,3.477e+01,4.054e+02
6.3,1.129e+03,3.017e+01,3.831e+01,1.198e+03
7.9,1.863e+03,2.844e+01,4.285e+01,1.934e+03
9.4,2.733e+03,3.094e+01,4.064e+01,2.804e+03
11.0,3.475e+03,3.253e+01,3.805e+01,3.546e+03
12.6,4.428e+03,2.821e+01,3.973e+01,4.496e+03
14.1,5.614e+03,2.858e+01,4.282e+01,5.686e+03
15.7,6.884e+03,2.659e+01,3.921e+01,6.950e+03
17.3,8.333e+03,2.752e+01,3.453e+01,8.395e+03
18.8,9.997e+03,2.845e+01,3.841e+01,1.006e+04
20.4,1.179e+04,2.856e+01,4.242e+01,1.186e+04
22.0,1.357e+04,3.158e+01,4.366e+01,1.364e+04
23.6,1.532e+04,3.335e+01,4.625e+01,1.540e+04
25.1,1.656e+04,4.916e+01,5.296e+01,1.666e+04
26.7,1.889e+04,6.193e+01,5.294e+01,1.901e+04
28.3,2.158e+04,6.080e+01,4.537e+01,2.168e+04
29.8,2.507e+04,6.198e+01,4.153e+01,2.518e+04
31.4,2.832e+04,7.431e+01,4.048e+01,2.843e+04
33.0,2.982e+04,9.870e+01,5.365e+01,2.997e+04
34.6,3.031e+04,1.086e+02,6.944e+01,3.049e+04
36.1,3.136e+04,8.935e+01,7.951e+01,3.153e+04
37.7,3.320e+04,8.019e+01,8.088e+01,3.336e+04
39.3,3.514e+04,2.354e+02,8.962e+01,3.546e+04
40.8,3.732e+04,3.903e+02,7.314e+01,3.778e+04
42.4,3.688e+04,2.664e+02,6.144e+01,3.721e+04
44.0,4.154e+04,1.867e+02,7.068e+01,4.180e+04
45.6,4.758e+04,1.511e+02,1.005e+02,4.783e+04
47.1,5.395e+04,8.768e+01,1.391e+02,5.418e+04
48.7,5.974e+04,1.127e+02,1.647e+02,6.001e+04
50.3,6.171e+04,3.064e+02,1.783e+02,6.220e+04
51.8,5.777e+04,5.741e+02,1.861e+02,5.853e+04
53.4,5.228e+04,5.878e+02,1.181e+02,5.298e+04
55.0,5.719e+04,4.767e+02,7.350e+01,5.774e+04
56.5,7.388e+04,5.159e+02,7.312e+01,7.447e+04
58.1,1.017e+05,8.473e+02,1.464e+02,1.027e+05
59.7,1.355e+05,1.742e+03,3.746e+02,1.376e+05
61.3,1.598e+05,3.571e+03,4.443e+02,1.638e+05
62.8,1.780e+05,5.852e+03,4.256e+02,1.843e+05
64.4,1.774e+05,7.485e+03,4.995e+02,1.854e+05
66.0,1.620e+05,8.621e+03,4.583e+02,1.711e+05
67.5,1.258e+05,8.653e+03,4.427e+02,1.349e+05
69.1,8.783e+04,7.630e+03,4.208e+02,9.588e+04
70.7,6.394e+04,6.007e+03,5.054e+02,7.045e+04
72.3,4.678e+04,3.984e+03,5.075e+02,5.127e+04
73.8,3.395e+04,2.010e+03,4.038e+02,3.636e+04
75.4,3.236e+04,7.784e+02,2.936e+02,3.343e+04
77.0,3.939e+04,2.571e+02,2.363e+02,3.988e+04
78.5,5.038e+04,3.620e+02,2.225e+02,5.096e+04
80.1,6.520e+04,1.202e+03,3.173e+02,6.672e+04
81.7,8.500e+04,3.022e+03,6.578e+02,8.868e+04
83.3,1.070e+05,5.043e+03,1.372e+03,1.134e+05
84.8,1.336e+05,5.183e+03,1.562e+03,1.403e+05
86.4,1.778e+05,5.193e+03,1.538e+03,1.845e+05
88.0,2.333e+05,6.556e+03,1.521e+03,2.414e+05
89.5,2.728e+05,9.967e+03,1.952e+03,2.847e+05
91.1,2.814e+05,1.412e+04,2.624e+03,2.981e+05
92.7,2.751e+05,1.644e+04,4.168e+03,2.957e+05
94.2,2.713e+05,1.348e+04,7.457e+03,2.923e+05
95.8,2.654e+05,9.460e+03,8.231e+03,2.831e+05
97.4,2.433e+05,8.380e+03,7.162e+03,2.589e+05
99.0,2.259e+05,7.926e+03,7.291e+03,2.412e+05
100.5,2.181e+05,6.250e+03,7.650e+03,2.320e+05
102.1,2.155e+05,4.958e+03,7.597e+03,2.281e+05
103.7,2.115e+05,4.294e+03,7.320e+03,2.232e+05
105.2,2.030e+05,3.863e+03,6.862e+03,2.138e+05
106.8,1.934e+05,3.596e+03,6.494e+03,2.035e+05
108.4,1.869e+05,3.433e+03,6.265e+03,1.966e+05
110.0,1.790e+05,3.196e+03,6.142e+03,1.884e+05
111.5,1.707e+05,2.962e+03,6.109e+03,1.797e+05
113.1,1.608e+05,2.896e+03,5.914e+03,1.696e+05
114.7,1.513e+05,2.770e+03,5.630e+03,1.597e+05
116.2,1.379e+05,2.516e+03,5.338e+03,1.457e+05
117.8,1.229e+05,2.225e+03,4.941e+03,1.301e+05
119.4,1.073e+05,1.998e+03,4.393e+03,1.137e+05
120.9,8.595e+04,1.751e+03,3.456e+03,9.116e+04
122.5,7.107e+04,1.565e+03,2.817e+03,7.545e+04
124.1,6.777e+04,1.585e+03,2.779e+03,7.213e+04
125.7,6.582e+04,1.675e+03,2.815e+03,7.032e+04
127.2,6.301e+04,1.766e+03,2.877e+03,6.765e+04
128.8,5.970e+04,1.876e+03,3.010e+03,6.458e+04
130.4,5.688e+04,1.971e+03,3.188e+03,6.204e+04
131.9,4.914e+04,1.790e+03,3.102e+03,5.403e+04
133.5,1.826e+04,7.169e+02,1.293e+03,2.027e+04
135.1,1.464e+03,1.325e+02,1.949e+02,1.792e+03
136.7,7.048e+02,9.677e+01,1.363e+02,9.378e+02
138.2,5.789e+02,9.522e+01,1.328e+02,8.069e+02
139.8,4.769e+02,9.828e+01,1.196e+02,6.948e+02
141.4,3.852e+02,1.034e+02,1.174e+02,6.060e+02
142.9,3.254e+02,1.054e+02,1.132e+02,5.441e+02
144.5,2.919e+02,1.044e+02,1.035e+02,4.998e+02
146.1,2.423e+02,1.033e+02,9.720e+01,4.428e+02
147.7,2.057e+02,9.562e+01,8.884e+01,3.902e+02
149.2,1.791e+02,9.187e+01,9.352e+01,3.645e+02
150.8,1.503e+02,9.015e+01,9.702e+01,3.375e+02
152.4,1.252e+02,8.447e+01,9.037e+01,3.000e+02
153.9,1.186e+02,7.740e+01,9.867e+01,2.947e+02
155.5,1.361e+02,7.325e+01,1.109e+02,3.202e+02
157.1,1.591e+02,7.092e+01,1.379e+02,3.679e+02
158.6,1.913e+02,7.522e+01,1.659e+02,4.324e+02
160.2,2.372e+02,1.082e+02,2.060e+02,5.514e+02
161.8,2.748e+02,1.436e+02,2.245e+02,6.429e+02
163.4,3.256e+02,1.817e+02,2.129e+02,7.202e+02
164.9,4.155e+02,2.396e+02,1.937e+02,8.487e+02
166.5,5.038e+02,2.794e+02,1.586e+02,9.417e+02
168.1,5.301e+02,3.064e+02,1.346e+02,9.710e+02
169.6,5.634e+02,2.887e+02,1.359e+02,9.879e+02
171.2,6.011e+02,2.564e+02,1.449e+02,1.003e+03
172.8,5.482e+02,2.290e+02,1.510e+02,9.283e+02
174.4,4.696e+02,2.373e+02,1.488e+02,8.557e+02
175.9,4.395e+02,2.543e+02,1.190e+02,8.127e+02
177.5,4.142e+02,2.923e+02,1.042e+02,8.106e+02
179.1,3.328e+02,2.522e+02,1.171e+02,7.021e+02
180.6,2.690e+02,1.768e+02,1.164e+02,5.622e+02
182.2,2.488e+02,1.299e+02,1.077e+02,4.864e+02
183.8,2.197e+02,1.129e+02,1.055e+02,4.380e+02
185.3,1.936e+02,1.129e+02,9.923e+01,4.057e+02
186.9,1.944e+02,1.027e+02,1.194e+02,4.166e+02
188.5,2.195e+02,1.074e+02,1.455e+02,4.724e+02
190.1,2.461e+02,1.136e+02,1.534e+02,5.131e+02
191.6,2.780e+02,1.161e+02,1.352e+02,5.293e+02
193.2,3.299e+02,1.897e+02,1.242e+02,6.437e+02
194.8,3.723e+02,2.332e+02,1.193e+02,7.248e+02
196.3,4.119e+02,2.441e+02,1.269e+02,7.829e+02
197.9,4.565e+02,2.473e+02,1.329e+02,8.367e+02
199.5,4.782e+02,2.536e+02,1.381e+02,8.700e+02
