freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.301e+00,1.451e+02,4.277e+01,1.932e+02
1.5,2.015e+01,1.022e+02,7.740e+01,1.998e+02
3.1,2.194e+01,3.279e+01,6.923e+01,1.240e+02
4.6,2.244e+01,3.936e+02,6.900e+01,4.851e+02
6.1,2.178e+01,1.488e+03,7.077e+01,1.581e+03
7.7,2.237e+01,2.608e+03,7.462e+01,2.705e+03
9.2,3.881e+01,3.951e+03,7.834e+01,4.068e+03
10.8,6.258e+01,5.507e+03,8.556e+01,5.655e+03
12.3,4.672e+01,6.537e+03,8.955e+01,6.673e+03
13.8,4.701e+01,6.756e+03,7.955e+01,6.883e+03
15.4,3.998e+01,7.543e+03,7.213e+01,7.655e+03
16.9,3.037e+01,1.035e+04,7.704e+01,1.046e+04
18.4,3.100e+01,1.544e+04,8.625e+01,1.556e+04
20.0,3.796e+01,2.013e+04,1.291e+02,2.029e+04
21.5,4.926e+01,2.494e+04,2.274e+02,2.522e+04
23.1,6.318e+01,3.179e+04,4.830e+02,3.233e+04
24.6,8.824e+01,4.145e+04,8.868e+02,4.243e+04
26.1,1.404e+02,5.848e+04,1.732e+03,6.035e+04
27.7,2.615e+02,9.307e+04,4.400e+03,9.773e+04
29.2,5.033e+02,1.441e+05,1.235e+04,1.569e+05
30.7,9.480e+02,1.756e+05,2.527e+04,2.018e+05
32.3,1.464e+03,1.646e+05,3.909e+04,2.051e+05
33.8,1.586e+03,1.226e+05,4.711e+04,1.713e+05
35.4,1.084e+03,6.215e+04,3.467e+04,9.791e+04
36.9,4.671e+02,2.887e+04,2.004e+04,4.938e+04
38.4,2.211e+02,2.203e+04,1.256e+04,3.481e+04
40.0,2.338e+02,2.525e+04,1.175e+04,3.723e+04
41.5,4.859e+02,2.590e+04,1.907e+04,4.546e+04
43.0,9.515e+02,2.059e+04,2.933e+04,5.088e+04
44.6,1.063e+03,1.335e+04,3.305e+04,4.747e+04
46.1,8.055e+02,5.527e+03,2.572e+04,3.205e+04
47.7,6.579e+02,2.320e+03,2.389e+04,2.687e+04
49.2,6.246e+02,1.238e+03,2.825e+04,3.011e+04
50.7,6.703e+02,6.634e+02,3.354e+04,3.487e+04
52.3,8.095e+02,5.891e+02,3.683e+04,3.823e+04
53.8,8.911e+02,9.652e+02,3.589e+04,3.775e+04
55.3,7.276e+02,1.354e+03,2.828e+04,3.036e+04
56.9,5.788e+02,1.732e+03,2.059e+04,2.290e+04
58.4,6.166e+02,2.360e+03,1.765e+04,2.062e+04
59.9,6.594e+02,3.202e+03,1.752e+04,2.138e+04
61.5,8.270e+02,4.310e+03,1.890e+04,2.404e+04
63.0,1.202e+03,5.962e+03,2.249e+04,2.966e+04
64.6,1.932e+03,8.275e+03,2.696e+04,3.717e+04
66.1,2.915e+03,9.681e+03,2.789e+04,4.048e+04
67.6,3.828e+03,9.337e+03,2.472e+04,3.788e+04
69.2,4.706e+03,7.741e+03,1.903e+04,3.147e+04
70.7,4.850e+03,6.285e+03,1.327e+04,2.441e+04
72.2,3.929e+03,5.577e+03,9.800e+03,1.931e+04
73.8,2.656e+03,4.602e+03,7.239e+03,1.450e+04
75.3,1.640e+03,3.583e+03,5.134e+03,1.036e+04
76.9,1.063e+03,2.767e+03,3.598e+03,7.428e+03
78.4,7.718e+02,2.369e+03,2.316e+03,5.457e+03
79.9,6.143e+02,2.289e+03,1.281e+03,4.184e+03
81.5,4.358e+02,2.206e+03,5.960e+02,3.238e+03
83.0,3.122e+02,1.966e+03,3.807e+02,2.658e+03
84.5,2.201e+02,1.314e+03,7.117e+02,2.246e+03
86.1,1.352e+02,6.096e+02,1.150e+03,1.895e+03
87.6,9.166e+01,2.845e+02,1.303e+03,1.679e+03
89.2,6.975e+01,2.241e+02,1.340e+03,1.634e+03
90.7,5.756e+01,2.544e+02,1.552e+03,1.864e+03
92.2,5.250e+01,3.382e+02,1.941e+03,2.332e+03
93.8,5.020e+01,5.186e+02,2.350e+03,2.919e+03
95.3,5.970e+01,7.523e+02,2.651e+03,3.463e+03
96.8,6.865e+01,9.968e+02,3.326e+03,4.392e+03
98.4,7.435e+01,1.346e+03,4.103e+03,5.523e+03
99.9,8.590e+01,1.853e+03,4.285e+03,6.224e+03
101.4,1.012e+02,2.421e+03,4.743e+03,7.265e+03
103.0,1.119e+02,3.080e+03,6.149e+03,9.341e+03
104.5,1.216e+02,3.969e+03,8.223e+03,1.231e+04
106.1,1.354e+02,4.881e+03,1.076e+04,1.577e+04
107.6,1.543e+02,5.613e+03,1.321e+04,1.898e+04
109.1,1.704e+02,6.053e+03,1.531e+04,2.154e+04
110.7,1.871e+02,6.282e+03,1.787e+04,2.434e+04
112.2,1.836e+02,6.452e+03,2.040e+04,2.704e+04
113.7,1.853e+02,6.869e+03,2.404e+04,3.109e+04
115.3,1.767e+02,8.263e+03,3.003e+04,3.847e+04
116.8,1.430e+02,1.227e+04,3.458e+04,4.699e+04
118.4,1.039e+02,1.598e+04,2.349e+04,3.958e+04
119.9,1.043e+02,1.267e+04,5.891e+03,1.867e+04
121.4,9.063e+01,7.319e+03,5.893e+02,7.999e+03
123.0,8.078e+01,5.570e+03,1.801e+02,5.831e+03
